,time,sunny,cloudy,rainy
0,0.0,0.0,0.0,0.0
1,0.5,0.006377464821171268,0.0035430360117618158,0.0004251643214114179
2,1.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
3,1.5,0.009318224386588804,0.005176791325882669,0.0006212149591059203
4,2.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
5,2.5,0.009318224386588804,0.005176791325882669,0.0006212149591059203
6,3.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
7,3.5,0.009318224386588804,0.005176791325882669,0.0006212149591059203
8,4.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
9,4.5,0.009318224386588804,0.005176791325882669,0.0006212149591059203
10,5.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
11,5.5,0.009318224386588804,0.005176791325882669,0.0006212149591059203
12,6.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
13,6.5,0.006258523356124068,0.0034769574200689264,0.0004172348904082712
14,7.0,0.10086240154553677,0.056034667525298204,0.006724160103035785
15,7.5,0.381386314268068,0.21188128570448223,0.025425754284537867
16,8.0,0.7292015510254466,0.40511197279191474,0.048613436735029776
17,8.5,1.669674631418404,0.9275970174546689,0.11131164209456028
18,9.0,2.370128418243115,1.3167380101350639,0.15800856121620768
19,9.5,3.072105144881114,1.7067250804895076,0.20480700965874093
20,10.0,3.6784554457433414,2.0435863587463006,0.2452303630495561
21,10.5,4.27072485484173,2.3726249193565168,0.284714990322782
22,11.0,4.781899371978806,2.656610762210448,0.31879329146525376
23,11.5,5.278485203982115,2.932491779990064,0.35189901359880765
24,12.0,5.599556470134411,3.1108647056302283,0.3733037646756274
25,12.5,5.840306887971603,3.2446149377620017,0.3893537925314402
26,13.0,5.958293796312493,3.310163220173607,0.3972195864208328
27,13.5,5.95782670478732,3.309903724881844,0.39718844698582134
28,14.0,5.870115844976008,3.261175469431115,0.3913410563317338
29,14.5,5.635832139390857,3.1310178552171424,0.37572214262605713
30,15.0,5.437925329337575,3.021069627409764,0.36252835528917166
31,15.5,5.024623837173002,2.7914576873183345,0.33497492247820015
32,16.0,4.520240213523134,2.5112445630684075,0.3013493475682089
33,16.5,3.9283676133170986,2.1824264518428325,0.2618911742211399
34,17.0,3.2798661838463246,1.8221478799146247,0.21865774558975498
35,17.5,2.6065680731881526,1.448093373993418,0.1737712048792102
36,18.0,1.8683876738229181,1.0379931521238435,0.12455917825486121
37,18.5,1.165948379366153,0.6477490996478628,0.07772989195774353
38,19.0,0.4605848473496901,0.25588047074982784,0.03070565648997934
39,19.5,0.018434635823404488,0.010241464346335827,0.0012289757215602991
40,20.0,0.003661173278184833,0.0020339851545471293,0.00024407821854565553
41,20.5,0.008217637561743093,0.004565354200968385,0.0005478425041162062
42,21.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
43,21.5,0.009318224386588804,0.005176791325882669,0.0006212149591059203
44,22.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
45,22.5,0.009318224386588804,0.005176791325882669,0.0006212149591059203
46,23.0,0.009318224386588804,0.005176791325882669,0.0006212149591059203
47,23.5,0.010287146829570177,0.005715081571983431,0.0006858097886380118
